Year,"Region, development group, country or area",Both 0-4,Both 5-9,Both 10-14,Both  15-19,Both 20-24,Both 25-29,Both 30-34,Both 35-39,Both 40-44,Both 45-49,Both 50-54,Both 55-59,Both 60-64,Both 65-69,Both 70-74,Both 75+,Both Tot,Male 0-4,Male 5-9,Male 10-14,Male  15-19,Male 20-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75+,Male Total,Female 0-4,Female 5-9,Female 10-14,Female  15-19,Female 20-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75+,Female Total
2000,   British Virgin Islands*,505,660,644,617,967,1387,1662,1774,1435,1060,789,587,321,165,110,275,12958,257,329,312,316,473,650,765,872,704,504,428,285,187,91,61,152,6386,248,331,332,301,494,737,897,902,731,556,361,302,134,74,49,123,6572
2005,   British Virgin Islands*,388,558,636,797,1048,1451,1724,1859,1823,1521,1091,816,573,309,164,258,15016,197,277,307,406,511,677,788,911,891,720,589,394,331,169,91,142,7401,191,281,329,391,537,774,936,948,932,801,502,422,242,140,73,116,7615
2010,   British Virgin Islands*,767,1001,978,793,1242,1781,2125,2285,1843,1361,1013,754,412,216,144,361,17076,385,492,466,400,599,821,964,1107,891,638,542,360,236,118,79,197,8295,382,509,512,393,643,960,1161,1178,952,723,471,394,176,98,65,164,8781
2015,   British Virgin Islands*,426,766,1109,1343,1330,1783,2210,2386,2383,1906,1367,960,680,359,177,350,19535,212,372,521,670,634,811,989,1142,1138,881,724,453,387,194,96,189,9413,214,394,588,673,696,972,1221,1244,1245,1025,643,507,293,165,81,161,10122
2020,   British Virgin Islands*,480,434,887,1516,1937,1930,2254,2493,2485,2437,1894,1291,864,598,299,365,22164,238,210,416,753,920,874,1004,1189,1182,1122,1001,606,489,320,161,196,10681,242,224,471,763,1017,1056,1250,1304,1303,1315,893,685,375,278,138,169,11483
1990,   Cayman Islands*,315,383,456,566,866,1345,1397,1163,908,636,447,299,218,135,68,113,9315,169,185,233,258,442,649,655,539,467,320,240,157,120,77,42,34,4587,146,198,223,308,424,696,742,624,441,316,207,142,98,58,26,79,4728
1995,   Cayman Islands*,483,588,643,480,933,1385,2054,1649,1364,1081,737,508,285,210,156,110,12666,261,287,332,222,481,675,973,772,708,549,400,269,159,121,96,34,6339,222,301,311,258,452,710,1081,877,656,532,337,239,126,89,60,76,6327
2000,   Cayman Islands*,608,885,848,1273,1627,1983,2183,2604,1972,1613,1180,937,593,361,294,215,19176,331,435,441,591,843,974,1040,1230,1030,824,643,499,332,209,181,68,9671,277,450,407,682,784,1009,1143,1374,942,789,537,438,261,152,113,147,9505
2005,   Cayman Islands*,323,718,962,1151,1816,2065,2232,2270,2562,1928,1522,1128,846,517,312,327,20679,174,352,509,574,876,1008,1105,1138,1367,982,788,581,473,284,175,129,10515,149,366,453,577,940,1057,1127,1132,1195,946,734,547,373,233,137,198,10164
2010,   Cayman Islands*,1111,710,476,340,1015,3201,4100,4002,3422,2539,1632,797,391,162,65,99,24062,587,346,256,181,451,1547,2102,2117,1859,1288,798,396,218,84,33,47,12310,524,364,220,159,564,1654,1998,1885,1563,1251,834,401,173,78,32,52,11752
2015,   Cayman Islands*,831,779,675,878,1232,1757,3478,4066,3919,3369,2419,1507,707,319,123,134,26193,438,379,363,466,547,848,1777,2147,2126,1704,1180,746,394,165,62,64,13406,393,400,312,412,685,909,1701,1919,1793,1665,1239,761,313,154,61,70,12787
2020,   Cayman Islands*,883,670,783,1146,1843,2182,2217,3557,4058,3920,3264,2286,1390,616,251,176,29242,469,329,422,612,825,1061,1137,1892,2216,1998,1605,1141,778,320,127,85,15017,414,341,361,534,1018,1121,1080,1665,1842,1922,1659,1145,612,296,124,91,14225
1990,   Cuba,450,436,719,485,797,808,816,1108,1235,1599,2390,4804,5401,4728,4322,4457,34555,226,215,349,226,337,328,338,458,485,611,940,2127,2775,2752,2516,2595,17278,224,221,370,259,460,480,478,650,750,988,1450,2677,2626,1976,1806,1862,17277
1995,   Cuba,376,353,651,672,761,669,772,1051,1132,1264,1717,3015,3237,2974,2756,4787,26187,196,178,331,341,338,288,314,407,410,460,656,1287,1628,1691,1546,2488,12559,180,175,320,331,423,381,458,644,722,804,1061,1728,1609,1283,1210,2299,13628
2000,   Cuba,322,288,632,961,788,565,786,1080,1113,977,1064,1141,933,1141,1127,5627,18545,178,151,344,516,377,271,327,391,364,330,386,415,418,586,536,2622,8212,144,137,288,445,411,294,459,689,749,647,678,726,515,555,591,3005,10333
2005,   Cuba,144,233,215,454,789,622,558,546,533,489,426,624,749,614,829,3868,11693,79,120,116,241,371,294,225,194,171,161,152,223,331,311,389,1774,5152,65,113,99,213,418,328,333,352,362,328,274,401,418,303,440,2094,6541
2010,   Cuba,29,77,110,133,254,460,313,280,254,235,202,163,370,584,489,3420,7373,17,39,59,71,118,215,119,96,79,76,70,58,161,291,225,1538,3232,12,38,51,62,136,245,194,184,175,159,132,105,209,293,264,1882,4141
2015,   Cuba,61,67,79,134,226,292,308,231,190,162,126,97,70,218,377,2011,4649,33,34,43,71,104,136,119,80,59,52,44,34,31,109,174,904,2027,28,33,36,63,122,156,189,151,131,110,82,63,39,109,203,1107,2622
2020,   Cuba,105,99,93,97,177,234,239,200,162,114,86,61,47,35,133,1142,3024,57,50,50,51,82,109,93,68,50,36,30,22,21,18,62,513,1312,48,49,43,46,95,125,146,132,112,78,56,39,26,17,71,629,1712
1990,   Curaçao*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,   Curaçao*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,   Curaçao*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,   Curaçao*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,   Curaçao*,690,1739,1932,2062,1764,1867,2754,3332,3685,3396,2805,2205,1893,1427,1093,1986,34630,341,891,929,1010,793,812,1093,1361,1469,1302,980,782,722,571,413,727,14196,349,848,1003,1052,971,1055,1661,1971,2216,2094,1825,1423,1171,856,680,1259,20434
2015,   Curaçao*,532,863,2091,2760,2629,2505,2649,3182,3467,3667,3397,2696,2078,1716,1222,2157,37611,265,444,1012,1359,1190,1097,1059,1310,1393,1418,1199,966,800,692,466,797,15467,267,419,1079,1401,1439,1408,1590,1872,2074,2249,2198,1730,1278,1024,756,1360,22144
2020,   Curaçao*,2949,3120,3364,4592,4374,4650,4552,4184,4257,4278,4367,3790,2712,1990,1544,2487,57210,1441,1551,1655,2290,2003,2099,1941,1833,1832,1779,1664,1455,1066,815,597,937,24958,1508,1569,1709,2302,2371,2551,2611,2351,2425,2499,2703,2335,1646,1175,947,1550,32252
1990,   Dominica,388,466,299,152,121,159,187,160,143,94,92,76,55,40,29,58,2519,182,212,136,68,56,81,102,101,92,60,59,49,35,25,17,34,1309,206,254,163,84,65,78,85,59,51,34,33,27,20,15,12,24,1210
1995,   Dominica,431,489,363,275,228,212,208,176,158,117,111,88,73,61,52,79,3121,208,237,181,138,115,112,106,101,91,68,66,53,43,35,29,40,1623,223,252,182,137,113,100,102,75,67,49,45,35,30,26,23,39,1498
2000,   Dominica,475,515,426,396,333,265,228,193,173,140,130,100,91,83,75,100,3723,237,267,226,208,175,145,112,102,92,78,73,57,51,46,41,45,1955,238,248,200,188,158,120,116,91,81,62,57,43,40,37,34,55,1768
2005,   Dominica,536,581,527,496,446,389,339,276,232,186,166,132,121,112,103,102,4744,266,300,278,259,233,212,175,146,123,103,93,75,67,61,55,45,2491,270,281,249,237,213,177,164,130,109,83,73,57,54,51,48,57,2253
2010,   Dominica,837,909,884,839,787,724,625,506,410,328,286,230,214,200,186,145,8110,408,460,460,430,405,387,322,263,214,178,157,129,117,108,98,64,4200,429,449,424,409,382,337,303,243,196,150,129,101,97,92,88,81,3910
2015,   Dominica,479,529,749,962,1054,979,763,561,439,367,268,226,180,166,152,219,8093,236,269,392,497,544,525,394,293,231,199,147,126,99,90,80,93,4215,243,260,357,465,510,454,369,268,208,168,121,100,81,76,72,126,3878
2020,   Dominica,516,328,410,759,1143,1277,1060,721,512,354,288,215,188,149,134,230,8284,254,167,215,391,589,683,550,375,269,192,158,120,103,80,71,97,4314,262,161,195,368,554,594,510,346,243,162,130,95,85,69,63,133,3970
1990,   Dominican Republic,43254,31596,28662,28219,27068,23674,21206,18118,14575,12037,9309,7115,6261,5510,4849,9698,291151,26761,19533,17705,17539,16939,14897,13291,11298,9071,7545,5865,4519,3976,3499,3080,6159,181677,16493,12063,10957,10680,10129,8777,7915,6820,5504,4492,3444,2596,2285,2011,1769,3539,109474
1995,   Dominican Republic,33371,29101,25185,30089,36938,37669,30267,23182,19245,13603,10675,8331,6458,5594,4726,8947,323381,20317,17701,15306,18404,22756,23340,18676,14229,11788,8395,6623,5212,4040,3500,2958,5597,198842,13054,11400,9879,11685,14182,14329,11591,8953,7457,5208,4052,3119,2418,2094,1768,3350,124539
2000,   Dominican Republic,28644,22618,22609,30953,42884,45878,41311,30972,21760,18122,11592,11179,7625,5859,5465,8140,355611,17205,13572,13556,18682,26075,28061,25163,18759,13153,11038,7101,6906,4711,3620,3377,5029,216008,11439,9046,9053,12271,16809,17817,16148,12213,8607,7084,4491,4273,2914,2239,2088,3111,139603
2005,   Dominican Republic,24206,17480,17251,28203,41257,50444,49209,41673,29252,20485,16011,10703,9421,6298,4993,8531,375417,13422,9659,9484,16149,24822,31032,30814,25865,18027,12647,10061,6757,6097,4165,3339,5486,227826,10784,7821,7767,12054,16435,19412,18395,15808,11225,7838,5950,3946,3324,2133,1654,3045,147591
2010,   Dominican Republic,16930,17671,21011,35446,66793,70427,49643,32781,23484,15882,13235,8399,8233,5362,4559,5623,395479,8710,9033,10634,19384,40010,43824,32063,20927,14818,9984,8562,5438,5585,3784,3283,3769,239808,8220,8638,10377,16062,26783,26603,17580,11854,8666,5898,4673,2961,2648,1578,1276,1854,155671
2015,   Dominican Republic,18203,19491,17695,46447,102046,115916,79326,48729,32034,19004,14186,10186,9462,6033,4715,5816,549289,9465,10087,8613,28809,67368,75015,53748,32073,22205,12881,8606,6943,6526,3682,3449,3978,353448,8738,9404,9082,17638,34678,40901,25578,16656,9829,6123,5580,3243,2936,2351,1266,1838,195841
2020,   Dominican Republic,18483,19084,22657,27179,61495,115115,120081,78888,48240,32529,18374,13131,8780,7897,4703,7158,603794,9137,9429,10725,16207,39787,73295,80189,51070,32803,21555,10870,8673,5921,4722,3368,4791,382542,9346,9655,11932,10972,21708,41820,39892,27818,15437,10974,7504,4458,2859,3175,1335,2367,221252
1990,   Grenada,476,888,554,240,208,307,301,297,255,182,137,118,92,82,51,75,4263,232,444,283,121,101,139,126,144,124,86,67,65,57,48,30,39,2106,244,444,271,119,107,168,175,153,131,96,70,53,35,34,21,36,2157
1995,   Grenada,533,708,678,610,375,337,344,388,349,277,253,195,153,135,84,125,5544,270,355,353,308,193,159,139,183,164,129,131,98,88,73,45,58,2746,263,353,325,302,182,178,205,205,185,148,122,97,65,62,39,67,2798
2000,   Grenada,591,533,804,977,541,369,379,479,443,372,368,273,214,189,118,175,6825,307,267,424,494,285,180,153,222,205,171,193,131,119,98,61,76,3386,284,266,380,483,256,189,226,257,238,201,175,142,95,91,57,99,3439
2005,   Grenada,70,609,544,865,1088,626,415,384,455,420,340,342,240,182,154,168,6902,37,306,287,438,574,306,167,178,211,194,179,165,134,95,80,73,3424,33,303,257,427,514,320,248,206,244,226,161,177,106,87,74,95,3478
2010,   Grenada,45,89,636,606,956,1171,686,436,374,438,393,304,299,202,144,201,6980,25,46,339,310,508,578,273,206,176,205,209,148,169,106,76,89,3463,20,43,297,296,448,593,413,230,198,233,184,156,130,96,68,112,3517
2015,   Grenada,63,76,104,697,739,1075,1206,664,410,357,406,357,270,258,163,212,7057,34,41,57,364,401,542,501,319,197,171,219,178,155,138,88,97,3502,29,35,47,333,338,533,705,345,213,186,187,179,115,120,75,115,3555
2020,   Grenada,67,84,96,279,823,920,1163,1093,601,395,346,370,308,237,200,231,7213,35,41,49,136,415,428,440,484,266,174,174,170,165,118,100,97,3292,32,43,47,143,408,492,723,609,335,221,172,200,143,119,100,134,3921
1990,   Guadeloupe*,2719,5486,6563,6009,5317,6754,7315,7238,5960,4575,3085,1764,1245,825,467,622,65944,1466,2892,3384,3081,2635,3206,3387,3419,2855,2254,1588,931,698,486,213,223,32718,1253,2594,3179,2928,2682,3548,3928,3819,3105,2321,1497,833,547,339,254,399,33226
1995,   Guadeloupe*,2796,5640,6747,6739,5965,7292,8085,8001,6825,5474,4004,2508,1770,1172,663,885,74566,1483,2925,3418,3388,2897,3386,3659,3696,3198,2637,2017,1295,975,678,294,302,36248,1313,2715,3329,3351,3068,3906,4426,4305,3627,2837,1987,1213,795,494,369,583,38318
2000,   Guadeloupe*,2869,5787,6923,7458,6602,7819,8843,8751,7678,6361,4913,3245,2506,1468,923,1042,83188,1486,2927,3418,3657,3121,3524,3882,3923,3496,2984,2420,1641,1401,862,525,511,39778,1383,2860,3505,3801,3481,4295,4961,4828,4182,3377,2493,1604,1105,606,398,531,43410
2005,   Guadeloupe*,2892,5834,6979,7397,6844,8075,8930,9106,8313,7116,5719,4163,3343,1855,1222,1277,89065,1455,2861,3335,3510,3123,3499,3761,3926,3644,3221,2726,2041,1822,1065,678,606,41273,1437,2973,3644,3887,3721,4576,5169,5180,4669,3895,2993,2122,1521,790,544,671,47792
2010,   Guadeloupe*,2874,5796,6934,7229,6986,8211,8883,9326,8822,7762,6435,5013,3917,3050,1657,2047,94942,1404,2758,3211,3321,3079,3426,3597,3869,3725,3392,2970,2384,2083,1713,897,939,42768,1470,3038,3723,3908,3907,4785,5286,5457,5097,4370,3465,2629,1834,1337,760,1108,52174
2015,   Guadeloupe*,2262,4614,5766,6827,6249,7138,7939,8242,8573,7805,6825,5714,4449,3441,2621,2491,90956,1046,2071,2510,2947,2575,2764,2973,3172,3367,3184,2962,2564,2260,1855,1357,1073,38680,1216,2543,3256,3880,3674,4374,4966,5070,5206,4621,3863,3150,2189,1586,1264,1418,52276
2020,   Guadeloupe*,2485,4932,5662,6391,6168,6905,7754,8235,8189,7556,6346,5488,4585,3502,2645,3363,90206,1136,2188,2433,2724,2505,2633,2852,3120,3166,3039,2719,2433,2307,1872,1357,1430,37914,1349,2744,3229,3667,3663,4272,4902,5115,5023,4517,3627,3055,2278,1630,1288,1933,52292
1990,   Haiti,1632,1071,640,653,1187,1704,2127,2331,2182,1805,1380,975,682,341,170,204,19084,984,615,347,321,559,810,1071,1339,1339,1085,801,552,387,194,98,104,10606,648,456,293,332,628,894,1056,992,843,720,579,423,295,147,72,100,8478
1995,   Haiti,1460,1355,961,685,919,1396,1717,1867,1925,1696,1370,1036,736,519,277,210,18129,877,775,518,334,431,661,862,1069,1178,1016,792,585,415,294,157,112,10076,583,580,443,351,488,735,855,798,747,680,578,451,321,225,120,98,8053
2000,   Haiti,2228,2149,2084,2218,2057,1437,947,644,495,440,390,368,368,445,445,507,17222,1263,1218,1181,1257,1166,815,538,366,282,251,214,194,187,216,207,217,9572,965,931,903,961,891,622,409,278,213,189,176,174,181,229,238,290,7650
2005,   Haiti,2197,2040,2070,2305,1751,1084,777,500,475,392,377,348,377,500,500,667,16360,1251,1162,1178,1312,997,617,443,285,271,224,208,184,193,244,234,290,9093,946,878,892,993,754,467,334,215,204,168,169,164,184,256,266,377,7267
2010,   Haiti,2081,1561,1502,1662,1973,1730,1339,1086,806,716,568,466,373,343,384,592,17182,1182,886,853,942,1119,982,760,616,458,407,312,246,189,167,179,254,9552,899,675,649,720,854,748,579,470,348,309,256,220,184,176,205,338,7630
2015,   Haiti,1990,1538,1216,1339,1743,2094,1842,1432,1156,901,732,559,433,325,272,475,18047,1126,871,689,758,987,1188,1043,811,655,510,399,294,219,158,127,201,10036,864,667,527,581,756,906,799,621,501,391,333,265,214,167,145,274,8011
2020,   Haiti,1957,1519,1227,1174,1554,1964,2122,1781,1399,1141,863,674,501,370,264,374,18884,1107,861,694,664,879,1111,1201,1008,792,645,471,354,253,179,123,157,10499,850,658,533,510,675,853,921,773,607,496,392,320,248,191,141,217,8385
1990,   Jamaica,1818,1720,1521,1383,1556,1940,1664,1269,1025,897,815,816,775,736,879,1661,20475,942,886,780,699,776,875,760,580,525,464,416,404,384,365,431,694,9981,876,834,741,684,780,1065,904,689,500,433,399,412,391,371,448,967,10494
1995,   Jamaica,2013,1765,1656,1519,1740,2051,2297,1911,1510,1139,931,792,746,681,627,1335,22713,1056,921,860,777,880,940,1069,887,783,596,482,399,375,343,312,562,11242,957,844,796,742,860,1111,1228,1024,727,543,449,393,371,338,315,773,11471
2000,   Jamaica,2330,2415,2100,1383,1340,1634,2037,2229,1973,1296,1260,921,795,765,856,1618,24952,1230,1243,1080,719,691,829,1036,1092,1008,659,675,465,376,366,400,634,12503,1100,1172,1020,664,649,805,1001,1137,965,637,585,456,419,399,456,984,12449
2005,   Jamaica,2276,1937,1989,1877,1513,1535,1734,1961,2012,1758,1168,1110,798,677,636,1303,24284,1200,1001,1027,978,782,781,890,964,1031,896,628,562,379,326,299,504,12248,1076,936,962,899,731,754,844,997,981,862,540,548,419,351,337,799,12036
2010,   Jamaica,2470,3186,2323,1461,1353,1521,1440,1478,1453,1583,1274,830,814,592,495,1404,23677,1279,1656,1264,753,704,841,739,738,763,785,604,404,402,294,224,574,12024,1191,1530,1059,708,649,680,701,740,690,798,670,426,412,298,271,830,11653
2015,   Jamaica,2026,1995,2647,1907,1812,1903,1682,1346,1324,1313,1343,1049,668,634,438,1078,23165,1045,1033,1426,979,939,1049,859,670,693,649,634,509,330,314,198,438,11765,981,962,1221,928,873,854,823,676,631,664,709,540,338,320,240,640,11400
2020,   Jamaica,2161,1722,1680,2212,2275,2390,2082,1613,1261,1244,1142,1124,859,523,474,867,23629,1114,891,910,1134,1169,1323,1063,801,660,613,539,544,423,259,214,351,12008,1047,831,770,1078,1106,1067,1019,812,601,631,603,580,436,264,260,516,11621
1990,   Martinique*,2092,4118,4847,3992,3604,3769,3658,3377,2624,1970,1650,1075,631,558,415,325,38705,1041,2040,2421,2026,1842,1871,1751,1606,1273,976,827,533,305,265,179,135,19091,1051,2078,2426,1966,1762,1898,1907,1771,1351,994,823,542,326,293,236,190,19614
1995,   Martinique*,1980,4214,5362,5086,4199,4295,4452,4250,3458,2783,2307,1482,878,797,592,464,46599,994,2104,2672,2524,2050,2019,2024,1929,1593,1307,1104,710,417,376,256,192,22271,986,2110,2690,2562,2149,2276,2428,2321,1865,1476,1203,772,461,421,336,272,24328
2000,   Martinique*,1869,4312,5879,6182,4796,4823,5219,5125,4294,3597,2966,1891,1126,1037,772,604,54492,946,2169,2929,3018,2259,2173,2284,2251,1914,1636,1381,889,530,488,334,250,25451,923,2143,2950,3164,2537,2650,2935,2874,2380,1961,1585,1002,596,549,438,354,29041
2005,   Martinique*,1921,3856,5394,5879,4967,5114,5535,5569,4784,4047,3303,2334,1537,1201,894,699,57034,963,1921,2650,2802,2263,2219,2340,2366,2063,1781,1490,1069,715,566,390,293,25891,958,1935,2744,3077,2704,2895,3195,3203,2721,2266,1813,1265,822,635,504,406,31143
2010,   Martinique*,1975,3401,4911,5577,5140,5406,5826,6014,5275,4498,3642,2779,1950,1367,1017,797,59575,980,1677,2373,2590,2265,2265,2384,2478,2213,1925,1601,1248,900,646,448,337,26330,995,1724,2538,2987,2875,3141,3442,3536,3062,2573,2041,1531,1050,721,569,460,33245
2015,   Martinique*,2477,3440,5006,6103,5553,6025,6772,7038,6470,5537,4539,3554,2604,1743,1298,1015,69174,1192,1638,2317,2720,2363,2460,2692,2800,2608,2281,1914,1527,1154,797,554,415,29432,1285,1802,2689,3383,3190,3565,4080,4238,3862,3256,2625,2027,1450,946,744,600,39742
2020,   Martinique*,2277,3319,4810,5821,5021,5422,6483,6399,6330,5862,4857,3906,3024,2155,1383,1555,68624,1096,1580,2225,2593,2135,2212,2575,2544,2551,2414,2047,1677,1339,985,590,636,29199,1181,1739,2585,3228,2886,3210,3908,3855,3779,3448,2810,2229,1685,1170,793,919,39425
1990,   Montserrat*,130,114,98,130,208,268,264,207,142,96,73,57,54,52,49,71,2013,63,55,48,63,104,137,131,109,78,54,41,31,32,29,25,29,1029,67,59,50,67,104,131,133,98,64,42,32,26,22,23,24,42,984
1995,   Montserrat*,126,96,82,100,158,197,210,160,124,96,62,45,41,35,33,47,1612,63,49,43,52,83,102,102,83,64,50,33,24,24,19,16,18,825,63,47,39,48,75,95,108,77,60,46,29,21,17,16,17,29,787
2000,   Montserrat*,124,80,67,72,109,127,134,115,107,98,52,34,29,19,18,26,1211,65,43,38,41,61,69,62,59,52,47,25,17,16,10,8,9,622,59,37,29,31,48,58,72,56,55,51,27,17,13,9,10,17,589
2005,   Montserrat*,101,72,55,75,89,122,142,135,111,103,91,49,30,25,16,28,1244,53,39,31,43,50,67,70,69,54,49,44,24,17,13,7,9,639,48,33,24,32,39,55,72,66,57,54,47,25,13,12,9,19,605
2010,   Montserrat*,96,59,48,63,90,105,141,146,134,109,98,84,43,26,20,29,1291,50,32,28,36,51,57,74,74,65,52,47,42,24,13,9,10,664,46,27,20,27,39,48,67,72,69,57,51,42,19,13,11,19,627
2015,   Montserrat*,86,58,43,58,88,116,126,141,143,131,103,91,76,37,21,33,1351,46,33,26,34,51,64,53,73,71,64,50,46,43,20,10,12,696,40,25,17,24,37,52,73,68,72,67,53,45,33,17,11,21,655
2020,   Montserrat*,84,49,34,49,84,113,148,121,148,135,119,92,79,63,28,33,1379,45,28,21,29,49,63,59,63,81,66,58,47,44,33,13,12,711,39,21,13,20,35,50,89,58,67,69,61,45,35,30,15,21,668
1990,   Puerto Rico*,16667,27534,33759,43423,44533,39983,36081,23151,13410,9369,8448,7796,6635,3734,3178,4208,321909,8263,14178,16819,21321,21213,18379,16254,10471,6137,4342,3960,3640,3202,1812,1490,1873,153354,8404,13356,16940,22102,23320,21604,19827,12680,7273,5027,4488,4156,3433,1922,1688,2335,168555
